state,n_loans,default_rate_pct
AL,16613,23.6
AR,10047,24.1
AZ,32695,19.6
CA,196528,19.6
CO,29671,15.5
CT,19728,17.4
FL,95606,21.5
GA,43376,18.4
HI,6757,20.2
IL,51720,18.1
IN,21716,21.4
KS,11240,16.7
KY,12839,21.0
LA,15499,23.2
MA,30977,19.1
MD,31227,21.3
MI,35234,20.3
MN,23968,19.7
MO,21260,21.3
MS,6588,26.1
NC,37784,20.8
NH,6449,14.6
NJ,48449,21.1
NM,7362,21.4
NV,20267,21.9
NY,109842,22.0
OH,43842,20.5
OK,12281,23.5
OR,16406,14.4
PA,45522,20.8
RI,5871,17.9
SC,15992,16.3
TN,20385,21.4
TX,110169,19.8
UT,10036,17.1
VA,38040,19.9
WA,29188,15.8
WI,17732,18.4
